Country,Elevation
Afghanistan,1885 m ft 0
Albania,708 m ft 0
Algeria,800 m ft 0
Andorra,1996 m ft 0
Angola,1112 m ft 0
Antarctica,"2,300 m ft 0"
Argentina,595 m ft 0
Armenia,1792 m ft 0
Australia,330 m ft 0
Austria,910 m ft 0
Azerbaijan,384 m ft 0
Bangladesh,85 m ft 0
Belarus,160 m ft 0
Belgium,181 m ft 0
Belize,173 m ft 0
Benin,273 m ft 0
Bhutan,3280 m ft 0
Bolivia,1192 m ft 0
Bosnia and Herzegovina,500 m ft 0
Botswana,1013 m ft 0
Brazil,320 m ft 0
Brunei,478 m ft 0
Bulgaria,472 m ft 0
Burkina Faso,297 m ft 0
Burundi,1504 m ft 0
Cambodia,126 m ft 0
Cameroon,667 m ft 0
Canada,487 m ft 0
Central African Republic,635 m ft 0
Chad,543 m ft 0
Chile,1871 m ft 0
China,1840 m ft 0
Colombia,593 m ft 0
Congo,430 m ft 0
Congo DR,726 m ft 0
Corsica,568 m ft 0
Costa Rica,746 m ft 0
Croatia,331 m ft 0
Cuba,108 m ft 0
Cyprus,91 m ft 0
Czech Republic,433 m ft 0
Denmark,34 m ft 0
Djibouti,430 m ft 0
Dominican Republic,424 m ft 0
Ecuador,1117 m ft 0
Egypt,321 m ft 0
El Salvador,442 m ft 0
Estonia,61 m ft 0
Equatorial Guinea,577 m ft 0
Eritrea,853 m ft 0
Ethiopia,1330 m ft 0
Finland,164 m ft 0
France,375 m ft 0
French Guiana,168 m ft 0
Gabon,377 m ft 0
Gambia,34 m ft 0
Georgia,1432 m ft 0
Germany,263 m ft 0
Ghana,190 m ft 0
Greece,498 m ft 0
Greenland,1792 m ft 0
Guatemala,759 m ft 0
Guinea,472 m ft 0
Guinea-Bissau,70 m ft 0
Guyana,207 m ft 0
Haiti,470 m ft 0
Honduras,684 m ft 0
Hungary,143 m ft 0
Iceland,557 m ft 0
India,621 m ft 0
Indonesia,367 m ft 0
Iran,1305 m ft 0
Iraq,312 m ft 0
Ireland,118 m ft 0
Israel,508 m ft 0
Italy,538 m ft 0
Ivory Coast,250 m ft 0
Jamaica,340 m ft 0
Japan,438 m ft 0
Jordan,812 m ft 0
Kazakhstan,387 m ft 0
Kenya,762 m ft 0
Kosovo,800 m ft 0
Kuwait,108 m ft 0
Kyrgyzstan,2988 m ft 0
Latvia,87 m ft 0
Laos,710 m ft 0
Lebanon,1250 m ft 0
Lesotho,2161 m ft 0
Liberia,243 m ft 0
Libya,423 m ft 0
Lithuania,110 m ft 0
Luxembourg,325 m ft 0
Madagascar,"442
 m ft 0"
Malawi,779 m ft 0
Malaysia,538 m ft 0
Maldives,1.8 m ft 0
Mali,343 m ft 0
Mauritania,276 m ft 0
Mexico,1111 m ft 0
Moldova,139 m ft 0
Mongolia,1528 m ft 0
Montenegro,1086 m ft 0
Morocco,909 m ft 0
Mozambique,345 m ft 0
Myanmar,702 m ft 0
Namibia,1141 m ft 0
Nepal,3265 m ft 0
Netherlands,30 m ft 0
New Zealand,388 m ft 0
Nicaragua,298 m ft 0
Niger,474 m ft 0
Nigeria,380 m ft 0
North Korea,400 m ft 0
North Macedonia,741 m ft 0
Norway,460 m ft 0
Oman,310 m ft 0
Pakistan,900 m ft 0
Panama,360 m ft 0
Papua New Guinea,667 m ft 0
Paraguay,178 m ft 0
Peru,1555 m ft 0
Philippines,442 m ft 0
Poland,173 m ft 0
Portugal,372 m ft 0
Qatar,28 m ft 0
Romania,414 m ft 0
Rwanda,1598 m ft 0
Russia,600 m ft 0
Saudi Arabia,665 m ft 0
Senegal,69 m ft 0
Serbia,473 m ft 0
Sierra Leone,279 m ft 0
Singapore,15 m (49 ft)
Slovakia,458 m ft 0
Slovenia,492 m ft 0
Somalia,410 m ft 0
South Africa,1034 m ft 0
South Korea,282 m ft 0
Spain,660 m ft 0
Sri Lanka,228 m ft 0
Sudan,568 m ft 0
Suriname,246 m ft 0
Eswatini ( Swaziland ),305 m ft 0
Sweden,320 m ft 0
Switzerland,1350 m ft 0
Syria,514 m ft 0
Tajikistan,3186 m ft 0
Taiwan,1150 m ft 0
Tanzania,1018 m ft 0
Thailand,287 m ft 0
Togo,236 m ft 0
Trinidad and Tobago,83 m ft 0
Tunisia,246 m ft 0
Turkey,1132 m ft 0
Turkmenistan,230 m ft 0
Uganda,1100 m ft 0
Ukraine,175 m ft 0
United Arab Emirates,149 m ft 0
United Kingdom,162 m ft 0
United States,760 m ft 0
Uruguay,109 m ft 0
Venezuela,450 m ft 0
Vietnam,398 m ft 0
Western Sahara,256 m ft 0
Yemen,999 m ft 0
Zambia,1138 m ft 0
Zimbabwe,961 m ft 0
none World,840 m ft 0
